Ped: 62; passo: 4
Ped: 140; passo: 4
Ped: 51; passo: 8
Ped: 37; passo: 11
Ped: 1; passo: 15
Ped: 123; passo: 20
Ped: 83; passo: 24
Ped: 112; passo: 25
Ped: 13; passo: 29
Ped: 60; passo: 32
Ped: 142; passo: 35
Ped: 8; passo: 38
Ped: 117; passo: 40
Ped: 47; passo: 42
Ped: 73; passo: 45
Ped: 3; passo: 47
Ped: 127; passo: 50
Ped: 105; passo: 54
Ped: 141; passo: 57
Ped: 24; passo: 58
Ped: 114; passo: 60
Ped: 146; passo: 62
Ped: 67; passo: 65
Ped: 116; passo: 66
Ped: 20; passo: 69
Ped: 87; passo: 70
Ped: 120; passo: 73
Ped: 15; passo: 74
Ped: 148; passo: 77
Ped: 43; passo: 79
Ped: 64; passo: 79
Ped: 99; passo: 81
Ped: 14; passo: 83
Ped: 53; passo: 84
Ped: 30; passo: 86
Ped: 25; passo: 88
Ped: 94; passo: 90
Ped: 45; passo: 92
Ped: 88; passo: 93
Ped: 9; passo: 94
Ped: 100; passo: 98
Ped: 107; passo: 99
Ped: 69; passo: 100
Ped: 81; passo: 101
Ped: 121; passo: 101
Ped: 10; passo: 105
Ped: 136; passo: 109
Ped: 93; passo: 112
Ped: 111; passo: 112
Ped: 31; passo: 113
Ped: 42; passo: 114
Ped: 18; passo: 118
Ped: 118; passo: 119
Ped: 122; passo: 119
Ped: 77; passo: 124
Ped: 79; passo: 128
Ped: 56; passo: 130
Ped: 26; passo: 131
Ped: 145; passo: 132
Ped: 28; passo: 135
Ped: 147; passo: 137
Ped: 75; passo: 140
Ped: 78; passo: 141
Ped: 48; passo: 147
Ped: 49; passo: 150
Ped: 125; passo: 150
Ped: 124; passo: 151
Ped: 144; passo: 153
Ped: 108; passo: 157
Ped: 97; passo: 161
Ped: 104; passo: 162
Ped: 92; passo: 163
Ped: 35; passo: 167
Ped: 84; passo: 169
Ped: 5; passo: 172
Ped: 34; passo: 174
Ped: 150; passo: 176
Ped: 23; passo: 177
Ped: 68; passo: 177
Ped: 129; passo: 177
Ped: 70; passo: 181
Ped: 22; passo: 182
Ped: 50; passo: 182
Ped: 126; passo: 188
Ped: 110; passo: 190
Ped: 133; passo: 191
Ped: 135; passo: 196
Ped: 46; passo: 197
Ped: 58; passo: 201
Ped: 115; passo: 201
Ped: 134; passo: 202
Ped: 16; passo: 206
Ped: 138; passo: 208
Ped: 143; passo: 211
Ped: 151; passo: 211
Ped: 113; passo: 212
Ped: 128; passo: 215
Ped: 130; passo: 216
Ped: 12; passo: 220
Ped: 74; passo: 221
Ped: 89; passo: 225
Ped: 76; passo: 228
Ped: 21; passo: 229
Ped: 59; passo: 229
Ped: 96; passo: 232
Ped: 4; passo: 233
Ped: 90; passo: 234
Ped: 40; passo: 241
Ped: 63; passo: 242
Ped: 119; passo: 244
Ped: 98; passo: 248
Ped: 109; passo: 252
Ped: 71; passo: 254
Ped: 72; passo: 254
Ped: 38; passo: 257
Ped: 101; passo: 257
Ped: 11; passo: 258
Ped: 52; passo: 260
Ped: 85; passo: 261
Ped: 6; passo: 264
Ped: 61; passo: 265
Ped: 65; passo: 265
Ped: 91; passo: 271
Ped: 17; passo: 280
Ped: 95; passo: 282
Ped: 106; passo: 282
Ped: 66; passo: 284
Ped: 103; passo: 285
Ped: 7; passo: 291
Ped: 41; passo: 295
Ped: 137; passo: 299
Ped: 139; passo: 300
Ped: 19; passo: 301
Ped: 102; passo: 305
Ped: 55; passo: 307
Ped: 44; passo: 308
Ped: 149; passo: 310
Ped: 33; passo: 314
Ped: 27; passo: 318
Ped: 2; passo: 319
Ped: 132; passo: 322
Ped: 39; passo: 323
Ped: 131; passo: 327
Ped: 82; passo: 329
Ped: 29; passo: 336
Ped: 86; passo: 339
Ped: 57; passo: 345
Ped: 80; passo: 351
Ped: 36; passo: 357
Ped: 54; passo: 365
