Ped: 120; passo: 5
Ped: 3; passo: 7
Ped: 82; passo: 7
Ped: 55; passo: 8
Ped: 117; passo: 8
Ped: 43; passo: 9
Ped: 56; passo: 10
Ped: 146; passo: 10
Ped: 45; passo: 11
Ped: 122; passo: 11
Ped: 150; passo: 11
Ped: 49; passo: 13
Ped: 50; passo: 13
Ped: 89; passo: 13
Ped: 22; passo: 14
Ped: 68; passo: 15
Ped: 25; passo: 16
Ped: 86; passo: 16
Ped: 23; passo: 17
Ped: 41; passo: 17
Ped: 90; passo: 17
Ped: 131; passo: 18
Ped: 7; passo: 19
Ped: 36; passo: 19
Ped: 129; passo: 19
Ped: 138; passo: 19
Ped: 27; passo: 20
Ped: 32; passo: 20
Ped: 135; passo: 20
Ped: 112; passo: 21
Ped: 124; passo: 21
Ped: 34; passo: 23
Ped: 61; passo: 23
Ped: 81; passo: 23
Ped: 38; passo: 24
Ped: 70; passo: 24
Ped: 5; passo: 25
Ped: 85; passo: 25
Ped: 136; passo: 25
Ped: 73; passo: 26
Ped: 78; passo: 26
Ped: 91; passo: 27
Ped: 12; passo: 28
Ped: 14; passo: 28
Ped: 17; passo: 28
Ped: 67; passo: 28
Ped: 145; passo: 29
Ped: 148; passo: 29
Ped: 11; passo: 30
Ped: 65; passo: 30
Ped: 88; passo: 31
Ped: 134; passo: 31
Ped: 69; passo: 32
Ped: 72; passo: 32
Ped: 76; passo: 32
Ped: 60; passo: 33
Ped: 71; passo: 33
Ped: 101; passo: 33
Ped: 1; passo: 34
Ped: 33; passo: 34
Ped: 80; passo: 35
Ped: 126; passo: 35
Ped: 13; passo: 37
Ped: 103; passo: 37
Ped: 108; passo: 37
Ped: 115; passo: 37
Ped: 119; passo: 37
Ped: 31; passo: 38
Ped: 84; passo: 38
Ped: 106; passo: 38
Ped: 28; passo: 39
Ped: 37; passo: 39
Ped: 99; passo: 39
Ped: 125; passo: 39
Ped: 40; passo: 40
Ped: 26; passo: 41
Ped: 58; passo: 41
Ped: 109; passo: 41
Ped: 130; passo: 41
Ped: 95; passo: 42
Ped: 64; passo: 43
Ped: 24; passo: 44
Ped: 74; passo: 44
Ped: 104; passo: 44
Ped: 15; passo: 45
Ped: 62; passo: 45
Ped: 77; passo: 45
Ped: 128; passo: 46
Ped: 63; passo: 47
Ped: 144; passo: 47
Ped: 44; passo: 48
Ped: 51; passo: 48
Ped: 53; passo: 48
Ped: 143; passo: 48
Ped: 46; passo: 49
Ped: 54; passo: 49
Ped: 123; passo: 49
Ped: 127; passo: 49
Ped: 83; passo: 50
Ped: 113; passo: 50
Ped: 142; passo: 51
Ped: 52; passo: 52
Ped: 141; passo: 52
Ped: 8; passo: 53
Ped: 29; passo: 53
Ped: 42; passo: 53
Ped: 48; passo: 53
Ped: 57; passo: 53
Ped: 100; passo: 54
Ped: 133; passo: 54
Ped: 97; passo: 55
Ped: 21; passo: 56
Ped: 107; passo: 56
Ped: 19; passo: 57
Ped: 75; passo: 57
Ped: 102; passo: 57
Ped: 118; passo: 57
Ped: 151; passo: 57
Ped: 116; passo: 58
Ped: 110; passo: 59
Ped: 98; passo: 60
Ped: 137; passo: 60
Ped: 147; passo: 60
Ped: 139; passo: 61
Ped: 4; passo: 62
Ped: 30; passo: 62
Ped: 66; passo: 62
Ped: 9; passo: 64
Ped: 39; passo: 65
Ped: 114; passo: 65
Ped: 94; passo: 66
Ped: 96; passo: 66
Ped: 121; passo: 67
Ped: 140; passo: 68
Ped: 132; passo: 70
Ped: 59; passo: 71
Ped: 92; passo: 71
Ped: 105; passo: 72
Ped: 18; passo: 76
Ped: 79; passo: 76
Ped: 47; passo: 77
Ped: 149; passo: 79
Ped: 2; passo: 83
Ped: 35; passo: 83
Ped: 111; passo: 83
Ped: 16; passo: 87
Ped: 87; passo: 90
Ped: 6; passo: 91
Ped: 10; passo: 92
Ped: 93; passo: 113
