Ped: 160; passo: 7
Ped: 221; passo: 8
Ped: 92; passo: 12
Ped: 47; passo: 14
Ped: 139; passo: 19
Ped: 243; passo: 19
Ped: 173; passo: 24
Ped: 27; passo: 25
Ped: 166; passo: 28
Ped: 137; passo: 31
Ped: 83; passo: 33
Ped: 275; passo: 34
Ped: 165; passo: 37
Ped: 169; passo: 38
Ped: 296; passo: 39
Ped: 188; passo: 41
Ped: 251; passo: 44
Ped: 283; passo: 46
Ped: 249; passo: 47
Ped: 300; passo: 47
Ped: 75; passo: 51
Ped: 134; passo: 52
Ped: 115; passo: 54
Ped: 40; passo: 55
Ped: 191; passo: 58
Ped: 153; passo: 60
Ped: 257; passo: 60
Ped: 168; passo: 63
Ped: 44; passo: 66
Ped: 279; passo: 66
Ped: 150; passo: 71
Ped: 48; passo: 76
Ped: 70; passo: 77
Ped: 118; passo: 78
Ped: 276; passo: 80
Ped: 32; passo: 81
Ped: 16; passo: 83
Ped: 281; passo: 83
Ped: 177; passo: 84
Ped: 291; passo: 90
Ped: 236; passo: 91
Ped: 29; passo: 96
Ped: 31; passo: 97
Ped: 38; passo: 102
Ped: 162; passo: 102
Ped: 199; passo: 102
Ped: 110; passo: 105
Ped: 22; passo: 107
Ped: 59; passo: 109
Ped: 102; passo: 109
Ped: 172; passo: 112
Ped: 41; passo: 113
Ped: 286; passo: 116
Ped: 73; passo: 118
Ped: 183; passo: 123
Ped: 297; passo: 124
Ped: 241; passo: 125
Ped: 147; passo: 126
Ped: 142; passo: 130
Ped: 176; passo: 131
Ped: 272; passo: 132
Ped: 17; passo: 139
Ped: 250; passo: 139
Ped: 222; passo: 140
Ped: 99; passo: 141
Ped: 72; passo: 145
Ped: 49; passo: 150
Ped: 266; passo: 153
Ped: 135; passo: 154
Ped: 208; passo: 154
Ped: 252; passo: 154
Ped: 7; passo: 157
Ped: 3; passo: 165
Ped: 204; passo: 165
Ped: 154; passo: 168
Ped: 20; passo: 170
Ped: 85; passo: 175
Ped: 145; passo: 178
Ped: 58; passo: 179
Ped: 11; passo: 180
Ped: 42; passo: 180
Ped: 26; passo: 181
Ped: 185; passo: 181
Ped: 217; passo: 181
Ped: 94; passo: 183
Ped: 273; passo: 188
Ped: 77; passo: 189
Ped: 179; passo: 190
Ped: 290; passo: 191
Ped: 277; passo: 193
Ped: 127; passo: 197
Ped: 90; passo: 200
Ped: 130; passo: 200
Taxa de saida: 31.00%
